county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,total_morphine_mg,state,county_name,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
19,2009,189101.0,12,29.0,125026956.21611251,FL,CLAY,15.335720064938842,14.500168263534942,15.335720064938842
19,2010,191451.0,12,20.0,144973291.6130625,FL,CLAY,10.446537234070336,15.664955201489008,10.446537234070336
19,2011,192314.0,12,23.0,149339277.37215,FL,CLAY,11.959607724866624,14.807061928930487,11.959607724866624
19,2012,193861.0,12,28.0,134460972.4045125,FL,CLAY,14.443338268140575,13.184114832066342,14.443338268140575
19,2013,195657.0,12,31.0,107840971.2347625,FL,CLAY,15.84405362445504,11.630726530637734,15.84405362445504
19,2014,198570.0,12,26.0,95467193.745675,FL,CLAY,13.093619378556681,12.109261541833874,13.093619378556681
19,2015,202392.0,12,41.0,92754460.53390001,FL,CLAY,20.257717696351634,14.987429129395773,20.257717696351634
21,2006,312621.0,12,43.0,107527818.03915,FL,COLLIER,13.754674190153573,14.028622030911139,13.754674190153573
21,2007,314437.0,12,38.0,129944956.771925,FL,COLLIER,12.085091767190248,14.088496419709609,12.085091767190248
21,2008,316641.0,12,50.0,147514316.741,FL,COLLIER,15.790753566341694,15.208641162050228,15.790753566341694
21,2009,318485.0,12,42.0,203013843.132675,FL,COLLIER,13.187434259070285,14.500168263534942,13.187434259070285
21,2010,322581.0,12,36.0,237699089.7085875,FL,COLLIER,11.159987724013504,15.664955201489008,11.159987724013504
21,2011,327629.0,12,41.0,198760198.15608752,FL,COLLIER,12.514154729892653,14.807061928930487,12.514154729892653
21,2012,332233.0,12,31.0,141498108.6976875,FL,COLLIER,9.330800974015224,13.184114832066342,9.330800974015224
21,2013,338987.0,12,29.0,120916036.7906625,FL,COLLIER,8.554900335411093,11.630726530637734,8.554900335411093
21,2014,347211.0,12,41.0,110159024.4168,FL,COLLIER,11.808381646894828,12.109261541833874,11.808381646894828
21,2015,356041.0,12,48.0,109381584.1617,FL,COLLIER,13.481593411994686,14.987429129395773,13.481593411994686
23,2006,65890.0,12,,27550999.543587502,FL,COLUMBIA,,14.028622030911139,14.028622030911139
23,2007,66604.0,12,,30014296.6830125,FL,COLUMBIA,,14.088496419709609,14.088496419709609
23,2008,67318.0,12,10.0,37733241.9828125,FL,COLUMBIA,14.854867940224011,15.208641162050228,14.854867940224011
23,2009,67412.0,12,,40156453.470225,FL,COLUMBIA,,14.500168263534942,14.500168263534942
23,2010,67553.0,12,17.0,54616183.97295,FL,COLUMBIA,25.16542566577354,15.664955201489008,25.16542566577354
