county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
211,2003,3362.0,48,,,8.526071492045281,8.526071492045281
211,2004,3410.0,48,,,7.5751570676608875,7.5751570676608875
211,2005,3480.0,48,,,8.75774348408746,8.75774348408746
211,2006,3523.0,48,,,12.545769398754976,12.545769398754976
211,2007,3538.0,48,,,9.459096890055822,9.459096890055822
211,2008,3680.0,48,,,10.073195142204476,10.073195142204476
211,2009,3802.0,48,,,11.214503287680074,11.214503287680074
211,2010,3795.0,48,,,10.423583013677874,10.423583013677874
211,2011,3956.0,48,,,10.510762041968544,10.510762041968544
211,2012,4093.0,48,,,9.643108331165203,9.643108331165203
211,2013,4153.0,48,,,9.382469924535565,9.382469924535565
211,2014,4165.0,48,,,9.98091462955963,9.98091462955963
211,2015,4277.0,48,,,9.551080383817931,9.551080383817931
213,2003,76349.0,48,,,8.526071492045281,8.526071492045281
213,2004,77807.0,48,,,7.5751570676608875,7.5751570676608875
213,2005,78001.0,48,,,8.75774348408746,8.75774348408746
213,2006,78404.0,48,,,12.545769398754976,12.545769398754976
213,2007,78178.0,48,,,9.459096890055822,9.459096890055822
213,2008,78033.0,48,10.0,12.81509105122192,10.073195142204476,12.81509105122192
213,2009,78231.0,48,,,11.214503287680074,11.214503287680074
213,2010,78665.0,48,10.0,12.712133731646857,10.423583013677874,12.712133731646857
213,2011,78837.0,48,,,10.510762041968544,10.510762041968544
213,2012,78992.0,48,,,9.643108331165203,9.643108331165203
213,2013,78669.0,48,,,9.382469924535565,9.382469924535565
213,2014,79324.0,48,13.0,16.38848267863446,9.98091462955963,16.38848267863446
213,2015,79492.0,48,13.0,16.353846927992755,9.551080383817931,16.353846927992755
215,2003,632475.0,48,,,8.526071492045281,8.526071492045281
215,2004,653779.0,48,11.0,1.6825257464678431,7.5751570676608875,1.6825257464678431
215,2005,674982.0,48,,,8.75774348408746,8.75774348408746
215,2006,695352.0,48,10.0,1.4381205490169007,12.545769398754976,1.4381205490169007
215,2007,715264.0,48,19.0,2.656361846814603,9.459096890055822,2.656361846814603
215,2008,736694.0,48,20.0,2.714831395396189,10.073195142204476,2.714831395396189
215,2009,757468.0,48,18.0,2.376338010318588,11.214503287680074,2.376338010318588
215,2010,779149.0,48,14.0,1.796832184858095,10.423583013677874,1.796832184858095
215,2011,795517.0,48,18.0,2.26267949019317,10.510762041968544,2.26267949019317
215,2012,808334.0,48,16.0,1.9793798108207745,9.643108331165203,1.9793798108207745
215,2013,818619.0,48,30.0,3.6647084907631027,9.382469924535565,3.6647084907631027
215,2014,829819.0,48,18.0,2.1691477298061383,9.98091462955963,2.1691477298061383
215,2015,839667.0,48,22.0,2.6200862961150078,9.551080383817931,2.6200862961150078
217,2003,33755.0,48,,,8.526071492045281,8.526071492045281
217,2004,34064.0,48,,,7.5751570676608875,7.5751570676608875
217,2005,34203.0,48,,,8.75774348408746,8.75774348408746
217,2006,34484.0,48,,,12.545769398754976,12.545769398754976
217,2007,34650.0,48,,,9.459096890055822,9.459096890055822
217,2008,34997.0,48,,,10.073195142204476,10.073195142204476
217,2009,35005.0,48,,,11.214503287680074,11.214503287680074
217,2010,35144.0,48,,,10.423583013677874,10.423583013677874
217,2011,35200.0,48,,,10.510762041968544,10.510762041968544
217,2012,35157.0,48,,,9.643108331165203,9.643108331165203
217,2013,34851.0,48,,,9.382469924535565,9.382469924535565
217,2014,34767.0,48,,,9.98091462955963,9.98091462955963
217,2015,34828.0,48,,,9.551080383817931,9.551080383817931
219,2003,22955.0,48,,,8.526071492045281,8.526071492045281
219,2004,22919.0,48,,,7.5751570676608875,7.5751570676608875
219,2005,23094.0,48,,,8.75774348408746,8.75774348408746
219,2006,22912.0,48,,,12.545769398754976,12.545769398754976
219,2007,22844.0,48,,,9.459096890055822,9.459096890055822
219,2008,22958.0,48,,,10.073195142204476,10.073195142204476
219,2009,23086.0,48,,,11.214503287680074,11.214503287680074
219,2010,22853.0,48,,,10.423583013677874,10.423583013677874
219,2011,22931.0,48,,,10.510762041968544,10.510762041968544
219,2012,23074.0,48,,,9.643108331165203,9.643108331165203
219,2013,23408.0,48,,,9.382469924535565,9.382469924535565
219,2014,23463.0,48,,,9.98091462955963,9.98091462955963
219,2015,23310.0,48,,,9.551080383817931,9.551080383817931
221,2003,44448.0,48,,,8.526071492045281,8.526071492045281
221,2004,45411.0,48,,,7.5751570676608875,7.5751570676608875
221,2005,46470.0,48,,,8.75774348408746,8.75774348408746
221,2006,47952.0,48,,,12.545769398754976,12.545769398754976
221,2007,48870.0,48,,,9.459096890055822,9.459096890055822
221,2008,50112.0,48,,,10.073195142204476,10.073195142204476
221,2009,50841.0,48,,,11.214503287680074,11.214503287680074
221,2010,51268.0,48,,,10.423583013677874,10.423583013677874
221,2011,51563.0,48,,,10.510762041968544,10.510762041968544
221,2012,52129.0,48,,,9.643108331165203,9.643108331165203
221,2013,52860.0,48,10.0,18.917896329928112,9.382469924535565,18.917896329928112
221,2014,53812.0,48,,,9.98091462955963,9.98091462955963
221,2015,55227.0,48,,,9.551080383817931,9.551080383817931
